course_name,question_desc,option_a,option_b,option_c,option_d,correct_option,difficulty_level,chapter_name,subject_name,
CA CPT QT,"The cardinal number of P<SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">Ç</SPAN>Q is","3,",2,0,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,A U E is equal to (E is a superset of A),"A,","E,","<span style=""line-height:110%; font-family:Symbol; font-size:11.0pt; "">f</span>,",none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"A <span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span> e is equal to",A,"E,","<span style=""line-height:110%; font-family:Symbol; font-size:11.0pt; "">f</span>",none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,E U E is equal to,"E,","<span style=""line-height:110%; font-family:Symbol; font-size:11.0pt; "">f</span>,","2E,",none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"A <SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">Ç</SPAN> E' is equal to",E,"<SPAN style=""LINE-HEIGHT: 110%; FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">f</SPAN>",A,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"A <span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span> E is equal to",A,E,"<span style=""line-height:110%; font-family:Symbol; font-size:11.0pt; "">f</span>",none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,A U A' is equal to,E,"<span style=""line-height:110%; font-family:Symbol; font-size:11.0pt; "">f</span>",A,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If E = {1,2,3,4,5,6,7,8,9},the subset of E satisfying 5 + x > 10 is","{5,6,7,8,9}","{6,7,8,9},","{7,8,9}",none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If A <SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">D</SPAN> B = (A-B) U (B-A) and A = {1,2,3,4},B = {3,5,7} than A<SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">D</SPAN>B is","{1,2,4,5,7)",{3},"{1,2,3,4,5,7}",none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"{(x,y) | x+y = 5} where x,y <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">Î</span> R is a",not a function,a composite function,one-one mapping,none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If I is the set of isosceles triangles and E is the set of equilateral triangles,then","1 <span style=""font-family:Symbol; font-size:11.0pt; "">Ì</span> E,","E <span style=""font-family:Symbol; font-size:11.0pt; "">Ì</span>1,","E = 1,",none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If R is the set of isosceles right angled triangles and I is set of isosceles triangles,then",R = 1,"R <span style=""font-family:Symbol; font-size:11.0pt; "">É</span> 1,","R <span style=""font-family:Symbol; font-size:11.0pt; "">Ì</span> 1",none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,{n(n+1)/2: n is a positive integer) is,a finite set,an infinite set,is an empty set,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If A = {1,2,3,5,7},and B = {x<SUP><SMALL>2</SMALL></SUP>: x&nbsp;ε A}",n,#ERROR!,n(A) = n(B),n(A) &lt; n(B),3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,A U A is equal to,"A,","E,","<span style=""line-height:110%; font-family:Symbol; font-size:11.0pt; "">f</span>",none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"A <span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span> A is equal to","<span style=""line-height:110%; font-family:Symbol; font-size:11.0pt; "">f</span>","A,","E,",none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,(A U B)' is equal to,"(A <span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span> B)'",A U B',"A' <span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span> B',",none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"(A <span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span> B)' is equal to",(A' U B)',A' U B',"A' <span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span> B',",none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,'is the reciprocal of' __. over the set of non-zero real numbers is,S,R,T,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,'Is the square of' over n set of real numbers is,R,S,T,none of these,4,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If A has 32 elements, B has 42 elements and A U B has 62 elements, the number of elements in A <span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span> B is",12,74,10,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"In a group of 20 children, 8 drink tea but not coffee and 13 like tea. The number of children drinking coffee but not tea is",6,7,1,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"The number of subsets of the sets {6, 8, 11} is",9,6,8,none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"The sets V = {x / x+2=0}, R={x / x<sup><small>2</small></sup> + 2x=0} and S = {x : x<sup><small>2</small></sup>+x-2=0} are equal to one another if x is equal to",-2,2,½,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If the universal set E = {x | x is a positive integer &lt;25}, A = {2, 6, 8, 14, 22}, B = {4, 8, 10, 14} then","(A<SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">Ç</SPAN>B)'=A'UB'","(A<SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">Ç</SPAN>B)'= A'<SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">Ç</SPAN>B'","(A'<SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">Ç</SPAN>B') = <SPAN style=""FONT-FAMILY: Symbol; FONT-SIZE: 11pt"">j</SPAN>",none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If the set P has 3 elements, Q four and R two then the set PxQxR contains",9 elements,20 elements,24 elements,none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"Given A = {2, 3}, B = {4, 5}, C = {5, 6} then A x (B<span style=""font-family:Symbol; font-size:11.0pt; "">Ç</span>C) is","{(2, 5), (3, 5)}","{(5, 2), (5, 3)}","{(2, 3), (5, 5)}",none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"A town has a total population of 50,000. Out of it 28,000 read the newspaper X and 23000 read. Y while 4000 read both the papers. The number of persons not reading X and Y both is",2000,3000,2500,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If A = { 1, 2, 3, 5, 7} and B = {1, 3, 6, 10, 15}. Cardinal number of A-B is",3,4,6,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,Which of the diagram is graph of a function,---------------,---------------,---------------,---------------,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"{(x, y), | x = 4} where x, y <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">Î</span> R is a",not a function,function,one-one mapping,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"{(x, y), y = x<SMALL><SUP><SMALL>2<SUB> </SUB></SMALL></SUP></SMALL>} where x, y <SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">Î</SPAN> R is",not a function,a function,inverse mapping,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"{(x, y) | x<y} where x, y <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">Î</span> R is",not a function,a function,one-one mapping,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"The domain of {(,7), (2,6)} is","(1, 6)","(7, 6)","(1, 2)","{6, 7}",3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"The range of {(3,0), (2,0), (1,0), (0,0)} is","{0, 0}",{0},"{0, 0, 0, 0}",none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"The domain and range of {(x,v) : y = x<sub><small><sup><small>2 </small></sup></small></sub>} where x, y <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">Î</span> R is","(reals, natural numbers)","(reals, positive reals)","(reals, reals)",none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,Let the domain of x be the set {1}. Which of the following functions are equal to 1,"f(x) = x<sub><small><sup><small>2</small></sup></small></sub>, g(x) = x","f(a) = x, g(x) = 1-x","f(x) = x<sub><small><sup><small>2 </small></sup></small></sub>+ x + 2, g(x) = (x+ 1)<sub><small><sup><small>2 </small></sup></small></sub>",none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If f(x) = 1/1-x, f(-1) is",0,½,0,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If g(x) = (x-1)/x, g(-½) is",1,2,3/2/2016,3,4,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If f(x) = 1/1-x and g(x) = (x-1)/x, then g of(x) is",x,1/x,x,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If f(x) = 1/1-x and g(x) = (x-1)/x, then g of (x) is",x-1,x,1/x,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,The function f(x) = 2<sub><small><sup><small>x </small></sup></small></sub>is,one-one mapping,one-many,many-one,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"The range of the function f(x) = log10 (1 + x) for the domain of real values of x when 0<span style=""font-family:Symbol; font-size:11.0pt; color:black; "">£</span> x <span style=""font-family:Symbol; font-size:11.0pt; color:black; "">£</span>9 is","{0, 1}","{0, 1, 2}",{0.1},none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,The inverse function f<sub><small><sup><small>-1</small></sup></small></sub> of f(x) = 2x is,1/2x,x/2,1/x,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If f(x) = x+3, g(x) = x<sub><small><sup><small>2</small></sup></small></sub>, then fog(x) is",x<sub><small><sup><small>2</small></sup></small></sub> + 3,x<sub><small><sup><small>2</small></sup></small></sub> + x + 3,(x+3)<sub><small><sup><small>2</small></sup></small></sub>,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If f(x) = x+3, g(x) = x<SMALL><SUP><SMALL>2</SMALL></SUP></SMALL> then f(x) g(x) is",(x+3)<SMALL><SUP><SMALL>2</SMALL></SUP></SMALL>,x<SMALL><SUP><SMALL>2</SMALL></SUP></SMALL> + 3,x<SMALL><SUP><SMALL>3</SMALL></SUP></SMALL> + 3x<SMALL><SUP><SMALL>2</SMALL></SUP></SMALL>,none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,The Inverse h<SMALL><SUP><SMALL>-1</SMALL></SUP></SMALL> when h(x) = log10 x is,log10 x,10<SMALL><SUP><SMALL>x</SMALL></SUP></SMALL>,log10 (1/x),none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"For the function h(x) = 10<SMALL><SUP><SMALL>1+x</SMALL></SUP></SMALL> the domain of real values of x where 0&nbsp;<= x&nbsp;<= 9, the range is","10 <SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">£</SPAN> h(x) <SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">£</SPAN> 10<SMALL><SUP><SMALL>10</SMALL></SUP></SMALL>","0 <SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">£</SPAN>h(x) <SPAN style=""FONT-FAMILY: Symbol; COLOR: #000000; FONT-SIZE: 11pt"">£</SPAN> 10<SMALL><SUP><SMALL>10</SMALL></SUP></SMALL>",0 &lt; h(x) &lt; 10,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,'Is smaller than' over the set of eggs in a box is,Transitive (T),Symmetric (S),Reflexive (R),Equivalence (E),1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,'is perpendicular to' over the set of straight lines in a given plane is,R,S,T,E,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,At a certain conference of 100 people there are 29 Indian women and 23 Indian men. Out of these Indian people 4 are doctors and 24 are either men or doctors. There are no foreign doctors. The number of women doctors attending the conference is,2,4,1,none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"Let A ={a, b} Set of subsets of A is called power set of A denoted by P(A), Now n(P(A) is",2,4,3,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"Out of 2000 employees in an office 48% preferred Coffee (c), 54% liked (T), 64% used to smoke(S). Out of the total 28% used C and T, 32% used T and S and 30% preferred C and S, only 6% did none of these. The number having all the three is",360,300,380<BR>,none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,Referred to the data of Q. 21 the number of employees having T and S but not C is,200,280,300,none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,Referred to the data of Q. 21. the number of employees preferring only coffee is,100,260,160,none of these,3,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,"If f(x) = x+3, g(x) = x<sup><small>2</small></sup>, then g of(x) is",(x+3)<sup><small>2</small></sup>,x<sup><small>2</small></sup>+3,"x<sup><small>2</small></sup>(x+3),",none of these,1,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,If f(x) = 1/1-x then f<sup><small>-1</small></sup>(x) is,1-x,(x-1)/x,x/(x-1),none of these,2,2,"Sets, Functions & Relation",Quatitative Aptitude,
CA CPT QT,An employer recruits experienced (x) and fresh workmen (y) for his firm under the condition that he cannot employ more than 9 people. x and y can be related by the inequality,x + y &#8800; 9,"x + y &#8804; 9x &#8805; 0, y &#8805; 0","x + y &#8805; 9x &#8805; 0, y &#8805; 0",none of these,2,1,Inequalities,Quatitative Aptitude,
CA CPT QT,On the average experienced person does 5 units of work while a fresh one 3 units of work daily but the employer has to maintain an output of at least 30 units of work per day. This situation can be expressed as,5x + 3y &#8804; 30,5x + 3y >30,"5x+3y &#8805; 30 x &#8805; 0, y &#8805; 0",none of these,3,1,Inequalities,Quatitative Aptitude,
CA CPT QT,The rules and regulations demand that the employer should employ not more than 5 experienced hands to 1 fresh one and this fact can be expressed as,y &#8805; x/5,5y &#8804; x,5y &#8805; x,none of these,1,1,Inequalities,Quatitative Aptitude,
CA CPT QT,The union however forbids him to employ less than 2 experienced person to each fresh person. This situation can be expressed as,x &#8804; y/2,y &#8804; x/2,y &#8805; x/2,x > 2y,2,2,Inequalities,Quatitative Aptitude,
CA CPT QT,The graph to express the inequality x + y &#8804; 9 is,</br><img>hssinequ01.png</img>,</br><img>hssinequ02.png</img>,</br><img>hssinequ03.png</img>,none of these,1,2,Inequalities,Quatitative Aptitude,
CA CPT QT,The graph to express the inequality 5x + 3y &#8805; 30 is,</br><img>hssinequ04.png</img>,</br><img>hssinequ05.png</img>,</br><img>hssinequ06.png</img>,none of these,3,3,Inequalities,Quatitative Aptitude,
CA CPT QT,The graph to express the inequality y &#8804; (1/2)x is indicated by,</br><img>hssinequ07.png</img>,</br><img>hssinequ08.png</img>,</br><img>hssinequ09.png</img>,</br><img>hssinequ10.png</img>,4,1,Inequalities,Quatitative Aptitude,
CA CPT QT,</br><img>hssinequ11.png</img></br> L1 : 5x + 3y = 30 </br>L2 : x+y = 9 </br>L3 : y = x/3 </br>L4 : y = x/2</br>The common region (shaded part) shown in the diagram refers to,5x + 3y &#8804; 30</br> x + y &#8804; 9</br> y &#8804; 1/5x</br> y &#8804; x/2,"5x + 3y &#8805; 30</br> x + y &#8804; 9</br> y &#8805; x/3 </br> y &#8804; x/2 </br> x &#8805; 0, y&#8805; 0","5x + 3y &#8805; 30 </br> x + y &#8805; 9 </br> y &#8804; x/3 </br> y &#8805; x/2 </br> x &#8805; 0, y &#8805; 0",None of these,4,3,Inequalities,Quatitative Aptitude,
CA CPT QT,"A dietitian wishes to mix together two kinds of food so that the vitamin content of the mixture is at least 9 units of vitamin A, 7 units of vitamin B, 10 units of vitamin C and 12 units of vitamin D. The vitamin content per Kg. of each food is shown below:</br><table border=""1"" cellpadding=""0"" cellspacing=""0""> <tbody> <tr> <td valign=""top"" width=""128""> </td> <td valign=""top"" width=""128""> <p> A </p> </td> <td valign=""top"" width=""128""> <p> B </p> </td> <td valign=""top"" width=""128""> <p> C </p> </td> <td valign=""top"" width=""128""> <p> D </p> </td> </tr> <tr> <td valign=""top"" width=""128""> <p> Food I </p> </td> <td valign=""top"" width=""128""> <p> 2 </p> </td> <td valign=""top"" width=""128""> <p> 1 </p> </td> <td valign=""top"" width=""128""> <p> 1 </p> </td> <td valign=""top"" width=""128""> <p> 2 </p> </td> </tr> <tr> <td valign=""top"" width=""128""> <p> Food II </p> </td> <td valign=""top"" width=""128""> <p> 1 </p> </td> <td valign=""top"" width=""128""> <p> 1 </p> </td> <td valign=""top"" width=""128""> <p> 2 </p> </td> <td valign=""top"" width=""128""> <p> 3 </p> </td> </tr> </tbody></table></br>Assuming x units of food I is to be mixed with y units of food II the situation can be expressed as","2x + y &#8804; 9 </br> x + y &#8804; 7</br> x + 2y &#8804; 10 </br> 2x + 3y &#8804; 12 </br> x > 0, y > 0",2x + y &#8805; 30 </br>x + y &#8804; 7 </br> x + 2y &#8805; 10 </br> x + 3y &#8805; 12,2x + y &#8805; 9 </br> x + y &#8805; 7 </br> x + y &#8804; 10 </br> x + 3y &#8805; 12,"2x + y &#8805; 9</br> x + y &#8805; 7</br> x +2 y &#8805; 10</br> 2x +3 y &#8805; 12</br> x &#8805; 0, y &#8805; 0,",4,2,Inequalities,Quatitative Aptitude,
CA CPT QT,</br><img>hssinequ12.png</img></br>Graphs of the inequations are drawn below :</br>L1 : 2x +y = 9 </br>L2 : x + y = 7</br>L3 : x+2y= 10 </br>L4 : x + 3y = 12</br>The common region (shaded part) indicated on the diagram is expressed by the set of inequalities,2x + y &#8804; 9 </br> x + y &#8805; 7 </br>x + 2y &#8805; 10 </br> x +3y &#8805; 12,2x + y &#8805; 9 </br> x + y &#8804; 7 </br> x +2 y &#8805; 10 </br> x + 3y &#8805; 12,"2x + y &#8805; 9 </br> x + y &#8805; 7</br> x +2y &#8805; 10</br> x +3 y &#8805; 12</br> x &#8805; 0, y &#8805; 0",none of these,3,1,Inequalities,Quatitative Aptitude,
CA CPT QT,"The common region satisfied by the inequalities </br>L1: 3x + y &#8805; 6, </br>L2: x + y &#8805; 4, </br>L3: x +3y &#8805; 6, and </br>L4: x + y &#8804; 6 is indicated by",</br><img>hssinequ13.png</img>,</br><img>hssinequ14.png</img>,</br><img>hssinequ15.png</img>,none of these,1,3,Inequalities,Quatitative Aptitude,
CA CPT QT,The region indicated by the shading in the graph is expressed by inequalities</br><img>hssinequ16.png</img>,"x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8804; 2</br>2x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub> &#8805; 8 </br> x<sub><small>1</small></sub> &#8805; 0, x<sub><small>2</small></sub> &#8805; 0",x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8804; 2</br> x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8804; 4 </br> x<sub><small>2</small></sub>x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8804; 4,x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8805; 2</br>2x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub> &#8805; 8,x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8804; 2</br>2x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub> > 8,1,2,Inequalities,Quatitative Aptitude,
CA CPT QT,"The inequalities x<sub><small>1</small></sub> &#8805; 0, x<sub><small>2</small></sub> &#8805; 0, are represented by one of the graphs shown below:",</br><img>hssinequ17.png</img>,</br><img>hssinequ18.png</img>,</br><img>hssinequ19.png</img>,</br><img>hssinequ20.png</img>,2,2,Inequalities,Quatitative Aptitude,
CA CPT QT,</br><img>hssinequ21.png</img></br>The region is expressed as,x<sub><small>1</small></sub>  x<sub><small>2</small></sub> &#8805; 1,x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8804; 1,x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8805; 1,none of these,3,1,Inequalities,Quatitative Aptitude,
CA CPT QT,The inequality x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub> &#8804; 0 is indicated on the graph as,</br><img>hssinequ22.png</img>,</br><img>hssinequ23.png</img>,</br><img>hssinequ24.png</img>,none of these,1,3,Inequalities,Quatitative Aptitude,
CA CPT QT,</br><img>hssinequ25.png</img></br>The common region indicated on the graph is expressed by the set of five inequalities,L1 : x<sub><small>1</small></sub> &#8805; 0</br> L2 : x<sub><small>2</small></sub> &#8805; 0 </br> L3 : x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8804; 1 </br> L4 : x<sub><small>1</small></sub>  x<sub><small>2</small></sub> &#8805; 1 </br> L5 : x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub> &#8804; 0,L1 : x<sub><small>1</small></sub> &#8805; 0</br> L2 : x<sub><small>2</small></sub> &#8805; 0 </br>L3 : x<sub><small>1</small></sub>+x<sub><small>2</small></sub> &#8805; 1 </br>L4 : x<sub><small>1</small></sub>x<sub><small>2</small></sub> &#8805; 1 </br> L5 : x<sub><small>1</small></sub>+2x<sub><small>2</small></sub>&#8804; 0,L1 : x<sub><small>1</small></sub> &#8804; 0 </br> L2 : x<sub><small>2</small></sub>&#8804; 0</br>L3 : x<sub><small>1</small></sub>+ x<sub><small>2</small></sub>&#8805; 1</br>L4 : x<sub><small>1</small></sub>x<sub><small>2</small></sub> &#8805; 1</br>L5 : x<sub><small>1</small></sub>+2x<sub><small>2</small></sub>&#8804; 0,None of these,2,2,Inequalities,Quatitative Aptitude,
CA CPT QT,"A firm makes two types of products : Type A and Type B. The profit on product A is Rs. 20 each and that on product B is Rs. 30 each. Both types are processed on three machines M<sub><small>1</small></sub>, M<sub><small>2</small></sub> and M3. The time required in hours by each product and total time available in hours per week on each machine are as follows: </br><table border=""1"" cellpadding=""0"" cellspacing=""0""> <tbody> <tr> <td valign=""top"" width=""160""> <p> Machine </p> </td> <td valign=""top"" width=""160""> <p> Product A </p> </td> <td valign=""top"" width=""160""> <p> Product B </p> </td> <td valign=""top"" width=""160""> <p> Available Time </p> </td> </tr> <tr> <td valign=""top"" width=""160""> <p> M1 </p> </td> <td valign=""top"" width=""160""> <p> 3 </p> </td> <td valign=""top"" width=""160""> <p> 3 </p> </td> <td valign=""top"" width=""160""> <p> 36 </p> </td> </tr> <tr> <td valign=""top"" width=""160""> <p> M2 </p> </td> <td valign=""top"" width=""160""> <p> 5 </p> </td> <td valign=""top"" width=""160""> <p> 2 </p> </td> <td valign=""top"" width=""160""> <p> 50 </p> </td> </tr> <tr> <td valign=""top"" width=""160""> <p> M3 </p> </td> <td valign=""top"" width=""160""> <p> 2 </p> </td> <td valign=""top"" width=""160""> <p> 6 </p> </td> <td valign=""top"" width=""160""> <p> 60 </p> </td> </tr> </tbody></table></br>The constraints can be formulated taking x<sub><small>1</small></sub> = number of units A and x<sub><small>2</small></sub> = number of unit of B as",x<sub><small>1</small></sub> + x<sub><small>2</small></sub> &#8804; 12</br>5x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub> &#8804; 50 </br> 2x<sub><small>1</small></sub> + 6x<sub><small>2</small></sub> &#8804; 60,"3x<sub><small>1</small></sub> + 3x<sub><small>2</small></sub> &#8805; 36</br>5x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub> &#8804; 50</br> 2x<sub><small>1</small></sub> + 6x<sub><small>2</small></sub> &#8805; 60</br> x<sub><small>1</small></sub>&#8805; 0, x<sub><small>2</small></sub>&#8805; 0","3x<sub><small>1</small></sub> + 3x<sub><small>2</small></sub>&#8804; 36</br>5x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub>&#8804; 50</br>2x<sub><small>1</small></sub> + 6x<sub><small>2</small></sub>&#8804; 60</br>x<sub><small>1</small></sub> &#8805; 0, x<sub><small>2</small></sub>&#8805; 0",none of these,3,2,Inequalities,Quatitative Aptitude,
CA CPT QT,"The set of inequalities L1: x<sub><small>1</small></sub> + x<sub><small>2</small></sub>&#8804; 12, </br>L2: 5x<sub><small>1</small></sub> + 2x<sub><small>2</small></sub> &#8804; 50,</br> L3: x<sub><small>1</small></sub> + 3x<sub><small>2</small></sub> &#8804; 30, x<sub><small>1</small></sub> &#8805; 0, and x<sub><small>2</small></sub>&#8805; 0 is represented by",</br><img>hssinequ26.png</img>,</br><img>hssinequ27.png</img>,</br><img>hssinequ28.png</img>,none of these,2,3,Inequalities,Quatitative Aptitude,
CA CPT QT,"The common region satisfying the set of inequalities x &#8805; 0, y&#8805; 0, </br>L1: x+y&#8804; 5, </br>L2: x +2y&#8804; 8 and </br>L3: 4x +3y&#8805; 12 is indicated by",</br><img>hssinequ29.png</img>,</br><img>hssinequ30.png</img>,</br><img>hssinequ31.png</img>,None of these,1,3,Inequalities,Quatitative Aptitude,
CA CPT QT,"On solving the inequalities 2x + 5y &#8804; 20 , 3x + 2y &#8804; 12 , x&#8804; 0, y&#8804; 0 , we get the following situation","(0, 0), (0, 4), (4, 0) and (20/11,36/11)","(0, 0), (10, 0), (0, 6) and (20/11,36/11)","(0, 0), (0, 4), (4, 0) and (2, 3)","(0, 0), (10, 0), (0, 6) and (2, 3)",1,1,Inequalities,Quatitative Aptitude,
CA CPT QT,"On solving the inequalities 6x + y &#8805; 18 , x + 4y&#8805; 12 , 2x + y&#8805; 10, we get the following situation","(0, 18), (12, 0), (4, 2) and (7, 6)","(3, 0), (0, 3), (4, 2) and (7, 6)","(5, 0), (0, 10), (4, 2) and (7, 6)","(0, 18), (12, 0), (4, 2), (0, 0) and (7, 6)",1,2,Inequalities,Quatitative Aptitude,
CA CPT QT,"The coefficient of correlation r between x and y when: <br> Cov (x, y) = - 16.5, Var (x) = 2.89, Var (y) = 100 is", 0.97,0.97,0.89, 0.89,1,2,Correlation And Regression,Quatitative Aptitude,
CA CPT QT,"Take 200 and 150 respectively as the assumed mean for X and Y series of 11 values, then dx = X  200, dy = Y  150, ∑dx = 13, ∑dx<SUP><SMALL><SUP><SMALL>2</SMALL></SUP></SMALL></SUP> = 2667, ∑dy = 42, ∑dy<SUP><SMALL><SUP><SMALL>2</SMALL></SUP></SMALL></SUP> = 6964, ∑dx dy = 3943. The value of r is:",0.77,0.98,0.92,0.82,3,2,Correlation And Regression,Quatitative Aptitude,
CA CPT QT,"For some bivariate data, the following results were obtained for the two variables x and y: <img>12 Correlation-1_image012.png</img><br>The most probable value of y when x = 60 is:",15.6,13.4,19.7,17.7,4,2,Correlation And Regression,Quatitative Aptitude,
CA CPT QT,"If the sum of squares of the rank difference in mathematics and physics marks of 10 students is 22, then the coefficient of rank correlation is:",0.267,0.867,0.92,None,2,2,Correlation And Regression,Quatitative Aptitude,
